´point_spawn_player_001´ ElementPlayerSpawner 100325
	position 51.2563, 776.256, -350
´no_bags_left´ MissionScriptElement 104272
	on_executed
		´esc1wp´ (delay 0) DISABLED
		´esc2wp´ (delay 0) DISABLED
		´esc3wp´ (delay 0) DISABLED
´no_required_bags_left´ MissionScriptElement 104273
	on_executed
		´escape_1´ (delay 0) DISABLED
		´escape_2´ (delay 0) DISABLED
		´escape_3´ (delay 0) DISABLED
		´obj2_escape´ (delay 1)
		´continue_without_bags´ (delay 0)
		´disable_complete´ (delay 0)
´Enable_Loot_Bags´ MissionScriptElement 102414
	on_executed
		´point_loot_bag_015´ (delay 0)
		´point_loot_bag_010´ (delay 0)
		´point_loot_bag_005´ (delay 0)
		´point_loot_bag_009´ (delay 0)
		´point_loot_bag_002´ (delay 0)
		´point_loot_bag_007´ (delay 0)
		´point_loot_bag_013´ (delay 0)
		´point_loot_bag_012´ (delay 0)
		´point_loot_bag_001´ (delay 0)
		´point_loot_bag_006´ (delay 0)
		´point_loot_bag_008´ (delay 0)
		´point_loot_bag_003´ (delay 0)
		´point_loot_bag_014´ (delay 0)
		´point_loot_bag_004´ (delay 0)
		´point_loot_bag_011´ (delay 0)
		´point_loot_bag_016´ (delay 0)
		´point_loot_bag_017´ (delay 0)
		´point_loot_bag_018´ (delay 0)
		´point_loot_bag_019´ (delay 0)
		´point_loot_bag_020´ (delay 0)
		´point_loot_bag_021´ (delay 0)
		´point_loot_bag_022´ (delay 0)
		´point_loot_bag_023´ (delay 0)
		´point_loot_bag_024´ (delay 0)
		´point_loot_bag_025´ (delay 0)
		´point_loot_bag_026´ (delay 0)
		´point_loot_bag_027´ (delay 0)
		´point_loot_bag_028´ (delay 0)
		´point_loot_bag_029´ (delay 0)
		´point_loot_bag_030´ (delay 0)
´remove_loot_waypoints´ ElementOperator 102430
	elements
 		1 ´WPEscapeVan01´ DISABLED
		2 ´WPEscapeVan02´ DISABLED
		3 ´point_waypoint_002´ DISABLED
	operation remove
´escape_1´ MissionScriptElement 102431
	DISABLED
	on_executed
		´ShowGoalMarking´ (delay 0)
		´EnableEscapeArea1´ (delay 0)
´escape_2´ MissionScriptElement 102432
	DISABLED
	on_executed
		´EnableEscapeArea2´ (delay 0)
		´ShowGoalMarking_2´ (delay 0)
´escape_3´ MissionScriptElement 102433
	DISABLED
	on_executed
		´EnableEscapeArea3´ (delay 0)
		´ShowGoalMarking_3´ (delay 0)
´enable_esc3´ ElementToggle 102434
	elements
 		1 ´escape_3´ DISABLED
		2 ´esc3wp´ DISABLED
	set_trigger_times -1
	toggle on
´enable_esc2´ ElementToggle 102435
	elements
 		1 ´escape_2´ DISABLED
		2 ´esc2wp´ DISABLED
	set_trigger_times -1
	toggle on
´enable_esc1´ ElementToggle 102436
	elements
 		1 ´escape_1´ DISABLED
		2 ´esc1wp´ DISABLED
	set_trigger_times -1
	toggle on
´WPExitVan02´ ElementWaypoint 102437
	TRIGGER TIMES 1
	icon pd2_escape
	only_in_civilian False
	position -725, -1600, 550
	rotation 0, 0, 0, -1
	text_id debug_none
´WPExitVan03´ ElementWaypoint 102438
	TRIGGER TIMES 1
	icon pd2_escape
	only_in_civilian False
	position 3700, -450, 563
	rotation 0, 0, 0, -1
	text_id debug_none
´WPExitVan1´ ElementWaypoint 102439
	TRIGGER TIMES 1
	icon pd2_escape
	only_in_civilian False
	position 1855, 3489, 575
	rotation 0, 0, 0, -1
	text_id debug_none
´EnableEscapeArea3´ ElementToggle 102440
	elements
 		1 ´MissionEndArea_2´ DISABLED
	set_trigger_times -1
	toggle on
´EnableEscapeArea2´ ElementToggle 102441
	elements
 		1 ´MissionEndArea´ DISABLED
	set_trigger_times -1
	toggle on
´EnableEscapeArea1´ ElementToggle 102442
	elements
 		1 ´MissionEndTrigger´ DISABLED
	set_trigger_times -1
	toggle on
´esc3wp´ MissionScriptElement 102443
	DISABLED
	on_executed
		´WPExitVan03´ (delay 0)
´esc2wp´ MissionScriptElement 102446
	DISABLED
	on_executed
		´WPExitVan02´ (delay 0)
´esc1wp´ MissionScriptElement 104274
	DISABLED
	on_executed
		´WPExitVan1´ (delay 0)
´obj2_escape´ ElementObjective 104275
	amount 0
	countdown False
	instance_var_names
	objective e_park_escape
	position 450, 1100, 1850
	rotation 0, 0, 0, -1
	state activate
	sub_objective none
´obj1_activate´ ElementObjective 104276
	amount 0
	countdown False
	instance_var_names
	objective e_park_secure
	position -725, 450, 1866.08
	rotation 0, 0, 0, -1
	state activate
	sub_objective none
´obj2_complete´ ElementObjective 104277
	amount 0
	countdown False
	instance_var_names
	objective e_park_secure
	position 950, 1050, 1850
	rotation 0, 0, 0, -1
	state complete
	sub_objective none
´some_bags_filter´ ElementJobValueFilter 104278
	check_type greater_than
	key reqLoot
	value 0
	on_executed
		´obj1_activate´ (delay 0)
´point_fleepoint_003´ ElementFleePoint 102044
	functionality loot_drop
	position 675, -1425, 475
´point_fleepoint_004´ ElementFleePoint 104286
	functionality loot_drop
	position -1083, 2071, 475
´lootwp001´ MissionScriptElement 102450
	on_executed
		´WPEscapeVan01´ (delay 0) DISABLED
´lootwp002´ MissionScriptElement 102455
	on_executed
		´WPEscapeVan02´ (delay 0) DISABLED
´lootwp003´ MissionScriptElement 102466
	on_executed
		´point_waypoint_002´ (delay 0) DISABLED
´disable_continue_without_bags´ ElementToggle 104282
	DISABLED
	TRIGGER TIMES 1
	elements
 		1 ´continue_without_bags´
	set_trigger_times -1
	toggle off
´enable_loot_wp´ ElementToggle 104280
	TRIGGER TIMES 1
	elements
 		1 ´WPEscapeVan01´ DISABLED
		2 ´WPEscapeVan02´ DISABLED
		3 ´point_waypoint_002´ DISABLED
	set_trigger_times -1
	toggle on
´no_req_loot´ ElementJobValueFilter 104279
	check_type equal
	key reqLoot
	value 0
	on_executed
		´no_required_bags_left´ (delay 0)
´undefinied_req_loot´ ElementJobValueFilter 104283
	check_type not_has_key
	key reqLoot
	value 0
	on_executed
		´no_required_bags_left´ (delay 0)
´continue_without_bags´ MissionScriptElement 104281
	on_executed
		´no_bags_left´ (delay 0)
´MissionTime_3min´ MissionScriptElement 103260
	on_executed
		´MissionTime_3.0min´ (delay 0)
		´180´ (delay 0)
´MissionTime_3.0min´ ElementPointOfNoReturn 104287
	position -750, 100, 1866.08
	rotation 0, 0, 0, -1
	time_easy 180
	time_easy_wish 180
	time_hard 180
	time_normal 180
	time_overkill 180
	time_overkill_145 180
	time_overkill_290 180
	time_sm_wish 180
´player001´ ElementFilter 103252
	difficulty_easy True
	difficulty_easy_wish True
	difficulty_hard True
	difficulty_normal True
	difficulty_overkill True
	difficulty_overkill_145 True
	difficulty_overkill_290 True
	difficulty_sm_wish True
	mode_assault True
	mode_control True
	platform_ps3 True
	platform_win32 True
	player_1 True
	player_2 False
	player_3 False
	player_4 False
	position 850, -150, 1850
	rotation 0, 0, 0.707107, -0.707107
	on_executed
		´double_more001´ (delay 0)
		´triple_more001´ (delay 0)
		´normal_less001´ (delay 0)
´player002´ ElementFilter 103253
	difficulty_easy True
	difficulty_easy_wish True
	difficulty_hard True
	difficulty_normal True
	difficulty_overkill True
	difficulty_overkill_145 True
	difficulty_overkill_290 True
	difficulty_sm_wish True
	mode_assault True
	mode_control True
	platform_ps3 True
	platform_win32 True
	player_1 False
	player_2 True
	player_3 False
	player_4 False
	position 850, 50, 1850
	rotation 0, 0, 0.707107, -0.707107
	on_executed
		´normal_less002´ (delay 0)
		´double_more002´ (delay 0)
		´triple_more002´ (delay 0)
´player003´ ElementFilter 103254
	difficulty_easy True
	difficulty_easy_wish True
	difficulty_hard True
	difficulty_normal True
	difficulty_overkill True
	difficulty_overkill_145 True
	difficulty_overkill_290 True
	difficulty_sm_wish True
	mode_assault True
	mode_control True
	platform_ps3 True
	platform_win32 True
	player_1 False
	player_2 False
	player_3 True
	player_4 False
	position 850, 250, 1850
	rotation 0, 0, 0.707107, -0.707107
	on_executed
		´normal_less003´ (delay 0)
		´double_more003´ (delay 0)
		´triple_more003´ (delay 0)
´player004´ ElementFilter 104284
	difficulty_easy True
	difficulty_easy_wish True
	difficulty_hard True
	difficulty_normal True
	difficulty_overkill True
	difficulty_overkill_145 True
	difficulty_overkill_290 True
	difficulty_sm_wish True
	mode_assault True
	mode_control True
	platform_ps3 True
	platform_win32 True
	player_1 False
	player_2 False
	player_3 False
	player_4 True
	position 850, 450, 1850
	rotation 0, 0, 0.707107, -0.707107
	on_executed
		´normal_less004´ (delay 0)
		´double_more004´ (delay 0)
		´triple_more004´ (delay 0)
´normal_less001´ ElementCounterFilter 104288
	elements
 		1 ´spawned_bag_counter´
	check_type less_or_equal
	needed_to_execute all
	value 1
	on_executed
		´normal_time´ (delay 0)
´Setup_MissionTime_Link´ MissionScriptElement 104289
	on_executed
		´no_bags´ (delay 0)
		´bags´ (delay 0)
		´hunt´ (delay 0)
´double_more001´ ElementCounterFilter 104290
	elements
 		1 ´spawned_bag_counter´
	check_type greater_than
	needed_to_execute all
	value 1
	on_executed
		´double_less001´ (delay 0)
´double_less001´ ElementCounterFilter 104291
	elements
 		1 ´spawned_bag_counter´
	check_type less_or_equal
	needed_to_execute all
	value 2
	on_executed
		´double_time´ (delay 0)
´triple_more001´ ElementCounterFilter 104292
	elements
 		1 ´spawned_bag_counter´
	check_type greater_than
	needed_to_execute all
	value 2
	on_executed
		´triple_time´ (delay 0)
´double_less002´ ElementCounterFilter 104293
	elements
 		1 ´spawned_bag_counter´
	check_type less_or_equal
	needed_to_execute all
	value 4
	on_executed
		´double_time´ (delay 0)
´normal_less002´ ElementCounterFilter 104294
	elements
 		1 ´spawned_bag_counter´
	check_type less_or_equal
	needed_to_execute all
	value 2
	on_executed
		´normal_time´ (delay 0)
´double_more002´ ElementCounterFilter 104295
	elements
 		1 ´spawned_bag_counter´
	check_type greater_than
	needed_to_execute all
	value 2
	on_executed
		´double_less002´ (delay 0)
´double_less003´ ElementCounterFilter 104297
	elements
 		1 ´spawned_bag_counter´
	check_type less_or_equal
	needed_to_execute all
	value 6
	on_executed
		´double_time´ (delay 0)
´normal_less003´ ElementCounterFilter 104298
	elements
 		1 ´spawned_bag_counter´
	check_type less_or_equal
	needed_to_execute all
	value 3
	on_executed
		´normal_time´ (delay 0)
´double_more003´ ElementCounterFilter 104299
	elements
 		1 ´spawned_bag_counter´
	check_type greater_than
	needed_to_execute all
	value 3
	on_executed
		´double_less003´ (delay 0)
´double_less004´ ElementCounterFilter 104301
	elements
 		1 ´spawned_bag_counter´
	check_type less_or_equal
	needed_to_execute all
	value 8
	on_executed
		´double_time´ (delay 0)
´normal_less004´ ElementCounterFilter 104302
	elements
 		1 ´spawned_bag_counter´
	check_type less_or_equal
	needed_to_execute all
	value 4
	on_executed
		´normal_time´ (delay 0)
´double_more004´ ElementCounterFilter 104303
	elements
 		1 ´spawned_bag_counter´
	check_type greater_than
	needed_to_execute all
	value 4
	on_executed
		´double_less004´ (delay 0)
´triple_more002´ ElementCounterFilter 104296
	elements
 		1 ´spawned_bag_counter´
	check_type greater_than
	needed_to_execute all
	value 4
	on_executed
		´triple_time´ (delay 0)
´triple_more003´ ElementCounterFilter 104300
	elements
 		1 ´spawned_bag_counter´
	check_type greater_than
	needed_to_execute all
	value 6
	on_executed
		´triple_time´ (delay 0)
´triple_more004´ ElementCounterFilter 104304
	elements
 		1 ´spawned_bag_counter´
	check_type greater_than
	needed_to_execute all
	value 8
	on_executed
		´triple_time´ (delay 0)
´normal_time´ MissionScriptElement 104305
	on_executed
		´MissionTime_4min´ (delay 0)
´double_time´ MissionScriptElement 104306
	on_executed
		´MissionTime_5min´ (delay 0)
´triple_time´ MissionScriptElement 104307
	on_executed
		´MissionTime_6min´ (delay 0)
´bags´ ElementCounterFilter 104308
	elements
 		1 ´spawned_bag_counter´
	check_type greater_or_equal
	needed_to_execute all
	value 1
	on_executed
		´Setup_MissionTime´ (delay 0)
´no_bags´ ElementCounterFilter 104309
	elements
 		1 ´spawned_bag_counter´
	check_type equal
	needed_to_execute all
	value 0
	on_executed
		´MissionTime_3min´ (delay 0)
´start_vo´ MissionScriptElement 103035
	on_executed
		´point_debug_007´ (delay 0)
´point_debug_007´ ElementDebug 103037
	as_subtitle False
	debug_string BAIN: That was one hell of a crash. The cops aren't gonna give you a break though, so get on your feet!
	show_instigator False
´escape_obj_and_vo´ MissionScriptElement 103039
	on_executed
		´point_debug_008´ (delay 0)
		´some_bags_filter´ (delay 0)
´point_debug_008´ ElementDebug 104356
	as_subtitle False
	debug_string BAIN: Move up through the garage, a van is ready to get you out of there!
	show_instigator False
´disable_complete´ ElementToggle 100747
	elements
 		1 ´obj2_complete´
	set_trigger_times -1
	toggle on
´func_sequence_trigger_001´ ElementUnitSequenceTrigger 100846
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence int_seq_open
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/001 (2045, 1502, 469)
		2
			guis_id 2
			sequence c4_completed
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/001 (2045, 1502, 469)
	on_executed
		´func_nav_obstacle_002´ (delay 0)
´func_nav_obstacle_002´ ElementNavObstacle 102339
	obstacle_list
		1
			guis_id 1
			obj_name 4061544182418225411
			unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/001 (2045, 1502, 469)
	operation remove
	position 2100, 1675, 625
	rotation 0, 0, 0, -1
´func_nav_obstacle_006´ ElementNavObstacle 102340
	obstacle_list
		1
			guis_id 1
			obj_name 4061544182418225411
			unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/001 (2045, 1502, 469)
	operation add
	position -350, 2300, 1866.08
	rotation 0, 0, 0, -1
´hunt´ ElementAiGlobalEvent 100236
	blame none
	position 1000, 600, 1900
	rotation 0, 0, 0, -1
	wave_mode hunt
´func_award_achievement_001´ ElementAwardAchievment 100690
	achievment bilbo_baggin
	award_instigator False
	position 1150, 1275, 1850
	rotation 0, 0, 0, -1
´logic_counter_002´ ElementCounter 100812
	counter_target 2
	on_executed
		´func_award_achievement_001´ (delay 0)
´trigger_loot_secured_001´ ElementLootSecuredTrigger 100757
	amount 0
	include_instant_cash False
	report_only True
	on_executed
		´logic_counter_operator_003´ (delay 0)
´looted´ ElementCounter 101010
	counter_target 0
´logic_counter_operator_003´ ElementCounterOperator 101011
	amount 1
	elements
 		1 ´logic_counter_003´
	instance_var_names
	operation add
´logic_counter_trigger_002´ ElementCounterTrigger 101012
	amount 8
	elements
 		1 ´looted´
	trigger_type value
´point_teammate_comment_001´ ElementTeammateComment 100520
	close_to_element True
	comment g24
	position 3275, -625, 550
	radius 0
	rotation 0, 0, 0, -1
	use_instigator False
´Diag10sec001´ ElementDialogue 102892
	can_not_be_muted False
	dialogue Play_dr1_a62
	execute_on_executed_when_done False
	use_instigator False
	use_position False
´Diag2min001´ ElementDialogue 102893
	can_not_be_muted False
	dialogue pln_esc_02_to_departure
	execute_on_executed_when_done False
	use_instigator False
	use_position False
´Diag1min001´ ElementDialogue 102896
	can_not_be_muted False
	dialogue pln_esc_01_to_departure_van
	execute_on_executed_when_done False
	use_instigator False
	use_position False
´func_fake_assault_state_001´ ElementFakeAssaultState 100698
	position 25, 1125, -100
	rotation 0, 0, 0, -1
	state True
´logic_counter_trigger_003´ ElementCounterTrigger 102936
	amount 8
	elements
 		1 ´logic_counter_003´
	trigger_type value
	on_executed
		´logic_counter_002´ (delay 0)
´logic_counter_003´ ElementCounter 102937
	counter_target 0
´point_special_objective_009´ ElementSpecialObjective 103017
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position True
	align_rotation True
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 1
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste none
	path_stance none
	path_style destination
	patrol_path none
	pose none
	position 550, -200, 50
	repeatable False
	rotation 0, 0, -0.707107, -0.707107
	scan True
	search_distance 0
	search_position 650 -475 50
	SO_access 8416
	so_action AI_defend
	trigger_on none
	use_instigator True
´point_special_objective_010´ ElementSpecialObjective 103018
	action_duration_max 0
	action_duration_min 0
	ai_group enemies
	align_position False
	align_rotation False
	attitude engage
	base_chance 1
	followup_elements
	forced False
	chance_inc 0
	interaction_voice none
	interrupt_dis 1
	interrupt_dmg 1
	interrupt_objective False
	interval 1
	is_navigation_link False
	needs_pos_rsrv True
	no_arrest False
	path_haste none
	path_stance cbt
	path_style destination
	patrol_path none
	pose stand
	position 1000, 2500, 50
	repeatable False
	rotation 0, 0, 0.707107, -0.707107
	scan True
	search_distance 0
	search_position 650 -475 50
	SO_access 8416
	so_action AI_defend
	trigger_on none
	use_instigator True
´func_carry_001´ ElementCarry 101031
	operation filter_only
	type_filter painting
	on_executed
		´paint001´ (delay 0)
´func_carry_002´ ElementCarry 101078
	operation filter_only
	type_filter coke
	on_executed
		´bag001´ (delay 0)
´func_carry_003´ ElementCarry 101229
	operation filter_only
	type_filter diamonds
	on_executed
		´bag001´ (delay 0)
´func_carry_004´ ElementCarry 101359
	operation filter_only
	type_filter gold
	on_executed
		´bag001´ (delay 0)
´func_carry_005´ ElementCarry 101427
	operation filter_only
	type_filter meth
	on_executed
		´bag001´ (delay 0)
´func_carry_006´ ElementCarry 101441
	operation filter_only
	type_filter money
	on_executed
		´bag001´ (delay 0)
´func_carry_007´ ElementCarry 102020
	operation filter_only
	type_filter weapon
	on_executed
		´bag001´ (delay 0)
´func_carry_008´ ElementCarry 102021
	operation filter_only
	type_filter weapons
	on_executed
		´bag001´ (delay 0)
´paint001´ ElementUnitSequence 102022
	position 2900, -300, 550
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/003 (3367.01, -457.455, 450)
			notify_unit_sequence state_add_canvas_bag
			time 0
´bag001´ ElementUnitSequence 102027
	position 2900, -375, 550
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/003 (3367.01, -457.455, 450)
			notify_unit_sequence state_add_loot_bag
			time 0
´point_loot_bag_016´ ElementLootBag 102028
	carry_id none
	from_respawn False
	position -350.176, 1618.75, -331
	rotation 0, 0, 0.694658, -0.71934
´point_loot_bag_017´ ElementLootBag 102041
	carry_id none
	from_respawn False
	position -454.739, 1417.4, -331
	rotation 0, 0, 0.461749, -0.887011
´point_loot_bag_018´ ElementLootBag 102042
	carry_id none
	from_respawn False
	position -124.647, 1495.17, -331
	rotation 0, 0, 0.544639, -0.838671
´point_loot_bag_019´ ElementLootBag 102080
	carry_id none
	from_respawn False
	position -500, 1150, -331
	rotation 0, 0, 0, -1
´point_loot_bag_020´ ElementLootBag 102082
	carry_id none
	from_respawn False
	position -280.338, 1667.26, -331
	rotation 0, 0, 0.390731, -0.920505
´point_loot_bag_021´ ElementLootBag 102092
	carry_id none
	from_respawn False
	position -299.112, 1574.91, -331
	rotation 0, 0, 0.522499, -0.85264
´point_loot_bag_022´ ElementLootBag 102093
	carry_id none
	from_respawn False
	position 75, 1516, -331
	rotation 0, 0, 0, -1
´point_loot_bag_023´ ElementLootBag 102095
	carry_id none
	from_respawn False
	position -56.3313, 1581.69, -325
	rotation 0, 0, 0.700909, -0.71325
´point_loot_bag_024´ ElementLootBag 102096
	carry_id none
	from_respawn False
	position -367, 1707, -331
	rotation 0, 0, 0, -1
´point_loot_bag_025´ ElementLootBag 102097
	carry_id none
	from_respawn False
	position -242.665, 1615.46, -331
	rotation 0, 0, 0.522499, -0.85264
´point_loot_bag_026´ ElementLootBag 102098
	carry_id none
	from_respawn False
	position -141, 1664, -315
	rotation 0, 0, 0, -1
´point_loot_bag_027´ ElementLootBag 102099
	carry_id none
	from_respawn False
	position -393.313, 1540.06, -331
	rotation 0, 0, 0.587785, -0.809017
´point_loot_bag_028´ ElementLootBag 102100
	carry_id none
	from_respawn False
	position -389, 1227, -331
	rotation 0, 0, 0, -1
´point_loot_bag_029´ ElementLootBag 102101
	carry_id none
	from_respawn False
	position -374.569, 1095.32, -331
	rotation 0, 0, -0.267238, -0.96363
´point_loot_bag_030´ ElementLootBag 102102
	carry_id none
	from_respawn False
	position -409.377, 997.308, -331
	rotation 0, 0, 0.284015, -0.95882
´point_play_sound_001´ ElementPlaySound 102103
	append_prefix False
	interrupt True
	position -875, 200, 1866.08
	rotation 0, 0, 0, -1
	sound_event Play_dr1_a03
	use_instigator False
´point_orientation_006´ MissionScriptElement 102214
	position 2590, -936, 468
	rotation 0, 0, 0, -1
´point_orientation_007´ MissionScriptElement 102215
	position 2663, -1580, 468
	rotation 0, 0, 0, -1
´point_orientation_008´ MissionScriptElement 102227
	position -507, -120, 588.611
	rotation 0, 0, 0, -1
´point_orientation_009´ MissionScriptElement 102236
	position 1650, 1900, 464.566
	rotation 0, 0, 0, -1
´point_orientation_010´ MissionScriptElement 102237
	position 2195, 102, 469
	rotation 0, 0, 0, -1
´point_orientation_011´ MissionScriptElement 102241
	position -409, 3115, 469
	rotation 0, 0, 0, -1
´point_orientation_012´ MissionScriptElement 102244
	position 2200, 1450, 469
	rotation 0, 0, 0, -1
´point_orientation_013´ MissionScriptElement 102245
	position 2669, 1758, -331
	rotation 0, 0, 0, -1
´point_orientation_014´ MissionScriptElement 102246
	position 1275, 1900, 50
	rotation 0, 0, 0, -1
´point_orientation_015´ MissionScriptElement 102265
	position 126, 1729, 50
	rotation 0, 0, 0, -1
´point_orientation_016´ MissionScriptElement 102266
	position -662, 3729, 123.503
	rotation 0, 0, 0, -1
´point_orientation_017´ MissionScriptElement 102267
	position 2668, 70, -331
	rotation 0, 0, 0, -1
´point_orientation_018´ MissionScriptElement 102268
	position 1275, 150, -350
	rotation 0, 0, 0, -1
´point_orientation_019´ MissionScriptElement 102291
	position -575, 0, -331
	rotation 0, 0, 0, -1
´point_orientation_020´ MissionScriptElement 102294
	position -1025, 1125, -335.434
	rotation 0, 0, 0, -1
´func_spawn_gage_assignment_001´ ElementSpawnGageAssignment 102301
	orientation_elements
		1 ´point_orientation_020´
		2 ´point_orientation_019´
		3 ´point_orientation_018´
		4 ´point_orientation_017´
		5 ´point_orientation_016´
		6 ´point_orientation_010´
		7 ´point_orientation_009´
		8 ´point_orientation_008´
		9 ´point_orientation_007´
		10 ´point_orientation_006´
		11 ´point_orientation_011´
		12 ´point_orientation_012´
		13 ´point_orientation_013´
		14 ´point_orientation_014´
		15 ´point_orientation_015´
	position -600, -2875, 430.001
	rotation 0, 0, 0, -1
´Complete the escape´ ElementExperience 102206
	amount 4000
´beforeYouWin´ MissionScriptElement 102210
	on_executed
		´Complete the escape´ (delay 0)
´paint002´ ElementUnitSequence 102202
	position -1150, -1150, 550
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/002 (-650, -1225, 468)
			notify_unit_sequence state_add_canvas_bag
			time 0
´bag002´ ElementUnitSequence 102211
	position -1150, -1225, 550
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/payday2/vehicles/str_vehicle_van_player/str_vehicle_van_player/002 (-650, -1225, 468)
			notify_unit_sequence state_add_loot_bag
			time 0
´func_carry_009´ ElementCarry 102213
	operation filter_only
	type_filter painting
	on_executed
		´paint002´ (delay 0)
´func_carry_010´ ElementCarry 102303
	operation filter_only
	type_filter coke
	on_executed
		´bag002´ (delay 0)
´func_carry_011´ ElementCarry 102330
	operation filter_only
	type_filter diamonds
	on_executed
		´bag002´ (delay 0)
´func_carry_012´ ElementCarry 102331
	operation filter_only
	type_filter gold
	on_executed
		´bag002´ (delay 0)
´func_carry_013´ ElementCarry 102351
	operation filter_only
	type_filter meth
	on_executed
		´bag002´ (delay 0)
´func_carry_014´ ElementCarry 102352
	operation filter_only
	type_filter money
	on_executed
		´bag002´ (delay 0)
´func_carry_015´ ElementCarry 102489
	operation filter_only
	type_filter weapon
	on_executed
		´bag002´ (delay 0)
´func_carry_016´ ElementCarry 102494
	operation filter_only
	type_filter weapons
	on_executed
		´bag002´ (delay 0)
´point_debug_009´ ElementDebug 102495
	as_subtitle False
	debug_string second escape
	show_instigator False
´point_debug_010´ ElementDebug 102496
	as_subtitle False
	debug_string first escape
	show_instigator False
´func_sequence_trigger_002´ ElementUnitSequenceTrigger 101654
	TRIGGER TIMES 1
	sequence_list
		3
			guis_id 3
			sequence c4_completed
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/004 (297, -1150, 468)
		4
			guis_id 4
			sequence done_opened
			notify_unit_id units/payday2/equipment/gen_interactable_door_reinforced/gen_interactable_door_reinforced/004 (297, -1150, 468)
	on_executed
		´func_nav_obstacle_007´ (delay 0)
´func_nav_obstacle_007´ ElementNavObstacle 102136
	obstacle_list
		1
			guis_id 1
			obj_name 8037565586551743599
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x1x3/001 (250, -1150, 450)
	operation remove
	position 425, -1200, 575
	rotation 0, 0, 0, -1
´func_nav_obstacle_008´ ElementNavObstacle 102504
	obstacle_list
		1
			guis_id 2
			obj_name 8037565586551743599
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x1x3/001 (250, -1150, 450)
	operation add
	position -275, 2300, 1875
	rotation 0, 0, 0, -1
