´logic_link_006´ MissionScriptElement 100174
´logic_link_007´ MissionScriptElement 100175
´point_special_objective_005´ ElementSpecialObjective 100191
	action_duration_max 20
		´input_heist_failed´ (delay 0)
´input_heist_failed´ ElementInstanceInputEvent 100103
	event_list
		1
			event enemy_retrieved_hostage
			instance levels/instances/shared/skm_negotiator/001
´point_fleepoint_001´ ElementFleePoint 100104
	functionality flee_point
	position 3000, 200, -2.00006
´point_fleepoint_002´ ElementFleePoint 100105
	functionality flee_point
	position -3000, 200, -2.00006
´point_fleepoint_003´ ElementFleePoint 100106
	functionality flee_point
	position 0, -8300, 0
´balcony_stairs_random´ ElementRandom 100107
	amount 1
	amount_random 0
	ignore_disabled True
	on_executed
		´both_stairs_open1´ (delay 0)
		´both_stairs_open2´ (delay 0)
		´right_stairs´ (delay 0)
		´left_stairs´ (delay 0)
´left_stairs´ MissionScriptElement 100108
	on_executed
		´disable_right_stairs´ (delay 0)
´right_stairs´ MissionScriptElement 100109
	on_executed
		´disable_left_stairs´ (delay 0)
´both_stairs_open1´ MissionScriptElement 100110
	on_executed
		´disable_both_walls´ (delay 0)
´both_stairs_open2´ MissionScriptElement 100111
	on_executed
		´disable_both_walls´ (delay 0)
´disable_right_stairs´ ElementDisableUnit 100112
	position -900, -5200, 9302.5
	rotation 0, 0, 0, -1
	unit_ids
		1 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_4m/cas_int_corridor_wall_4m/passage_blockade_right_04 (1824, 0.00299072, 600)
		2 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_4m/cas_int_corridor_wall_4m/passage_blockade_right_03 (1824, -199.997, 600)
		3 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_5m/cas_int_corridor_wall_5m/passage_blockade_right_02 (1823.99, -399.99, 0)
		4 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_5m/cas_int_corridor_wall_5m/passage_blockade_right_01 (1823.99, -599.99, 0)
		5 units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/004 (-1792, -200, 600)
		6 units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/003 (-1787, -600, 0)
		7 units/pd2_dlc_casino/props/cas_prop_lobby_sign_hanging_wall/cas_prop_lobby_sign_wall/030 (-1774, -201, 872)
		8 units/pd2_dlc_casino/props/cas_prop_lobby_sign_hanging_wall/cas_prop_lobby_sign_wall/023 (-1768, -602, 271)
		9 units/pd2_dlc_arena/props/editable_text_caslon/editable_text_caslon/026 (-1767, -260, 888)
		10 units/pd2_dlc_arena/props/editable_text_caslon/editable_text_caslon/019 (-1761, -655, 287)
	on_executed
		´right_passage_forbid_access´ (delay 0)
´disable_left_stairs´ ElementDisableUnit 100113
	position -900, -5100, 9302.5
	rotation 0, 0, 0, -1
	unit_ids
		1 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_4m/cas_int_corridor_wall_4m/passage_blockade_left_03 (-1774, -399.997, 600)
		2 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_4m/cas_int_corridor_wall_4m/passage_blockade_left_04 (-1774, -199.997, 600)
		3 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_5m/cas_int_corridor_wall_5m/passage_blockade_left_01 (-1774.01, -800, 0)
		4 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_5m/cas_int_corridor_wall_5m/passage_blockade_left_02 (-1774.01, -600, 0)
		5 units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/001 (1833, -200, 600)
		6 units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/002 (1833, -600, 0)
		7 units/pd2_dlc_arena/props/editable_text_caslon/editable_text_caslon/025 (1815, -143, 888)
		8 units/pd2_dlc_casino/props/cas_prop_lobby_sign_hanging_wall/cas_prop_lobby_sign_wall/022 (1822, -599, 272)
		9 units/pd2_dlc_casino/props/cas_prop_lobby_sign_hanging_wall/cas_prop_lobby_sign_wall/029 (1822, -202, 872)
		10 units/pd2_dlc_arena/props/editable_text_caslon/editable_text_caslon/018 (1814, -546, 288)
	on_executed
		´left_passage_forbid_access´ (delay 0)
´right_passage_forbid_access´ ElementAIGraph 100116
	filter_group none
	graph_ids
		1 75
		2 73
		3 74
	operation forbid_access
	position -800, -5200, 9302.5
	rotation 0, 0, 0, -1
´left_passage_forbid_access´ ElementAIGraph 100117
	filter_group none
	graph_ids
		1 72
		2 71
		3 70
	operation forbid_access
	position -800, -5100, 9302.5
	rotation 0, 0, 6.25849E-07, -1
´input_add_1_wave´ ElementInstanceInputEvent 100118
	DISABLED
	event_list
		1
			event add_1_wave
			instance levels/instances/shared/skm_negotiator/001
´reset_obj_002´ ElementInstanceInputEvent 100120
	event_list
		1
			event objective_reset
			instance levels/instances/shared/obj_link/002
	on_executed
		´obj_start_002´ (delay 0)
´func_instance_input_event_003´ ElementInstanceInputEvent 100121
	event_list
´point_debug_001´ ElementDebug 100122
	as_subtitle True
	debug_string objective_active
	show_instigator False
´delay1Sec´ MissionScriptElement 100119
	BASE DELAY 1
	on_executed
		´activate_navlinks´ (delay 0)
		´input_add_1_wave´ (delay 0) DISABLED
		´params_hostage´ (delay 0)
		´forbid_friendlies´ (delay 0)
		´balcony_stairs_random´ (delay 0)
		´combat_link´ (delay 0)
		´door_blocker_link´ (delay 0)
		´hider´ (delay 0)
		´input_event_deactivate_instance_door´ (delay 0)
´open_door_seq´ ElementUnitSequence 100126
	position 1600, -5200, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/008 (-1375, -4789, 700)
			notify_unit_sequence activate_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/008 (-1375, -4789, 700)
			notify_unit_sequence open_door
			time 1
	on_executed
		´toggle_OFF_4´ (delay 0)
´open_door_seq001´ ElementUnitSequence 100129
	position 1800, -5200, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/007 (1425, -4788, 700)
			notify_unit_sequence activate_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/007 (1425, -4788, 700)
			notify_unit_sequence open_door
			time 1
	on_executed
		´toggle_OFF_3´ (delay 0)
´disable_both_walls´ ElementDisableUnit 100114
	position -900, -5000, 9302.5
	rotation 0, 0, 0, -1
	unit_ids
		1 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_5m/cas_int_corridor_wall_5m/passage_blockade_left_02 (-1774.01, -600, 0)
		2 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_5m/cas_int_corridor_wall_5m/passage_blockade_left_01 (-1774.01, -800, 0)
		3 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_4m/cas_int_corridor_wall_4m/passage_blockade_left_03 (-1774, -399.997, 600)
		4 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_4m/cas_int_corridor_wall_4m/passage_blockade_left_04 (-1774, -199.997, 600)
		5 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_4m/cas_int_corridor_wall_4m/passage_blockade_right_03 (1824, -199.997, 600)
		6 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_4m/cas_int_corridor_wall_4m/passage_blockade_right_04 (1824, 0.00299072, 600)
		7 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_5m/cas_int_corridor_wall_5m/passage_blockade_right_01 (1823.99, -599.99, 0)
		8 units/pd2_dlc_casino/architecture/cas_int_corridor_wall_5m/cas_int_corridor_wall_5m/passage_blockade_right_02 (1823.99, -399.99, 0)
´random_start_point´ ElementRandom 100115
	amount 1
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_enemy_firstfloor´ (delay 0)
		´ai_enemy_firstfloor001´ (delay 0)
		´ai_enemy_firstfloor002´ (delay 0)
		´ai_enemy_firstfloor003´ (delay 0)
´door_blocker_link´ MissionScriptElement 100141
	on_executed
		´close_door_topfloor´ (delay 0)
		´close_door_topfloor001´ (delay 0)
		´close_door_topfloor002´ (delay 0)
		´close_door_topfloor003´ (delay 0)
		´close_door_topfloor004´ (delay 0)
		´close_door_topfloor005´ (delay 0)
		´close_door_topfloor006´ (delay 0)
		´close_door_topfloor007´ (delay 0)
		´close_door_topfloor008´ (delay 0)
		´close_door_topfloor009´ (delay 0)
		´close_door_topfloor010´ (delay 0)
´close_door_topfloor´ ElementUnitSequence 100142
	position -200, -9500, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/008 (-1375, -4789, 700)
			notify_unit_sequence close_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/008 (-1375, -4789, 700)
			notify_unit_sequence deactivate_door
			time 1
	on_executed
		´add_blocker´ (delay 0)
´add_blocker´ ElementNavObstacle 100143
	obstacle_list
		1
			guis_id 1
			obj_name 15953514984309589828
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x4x3/005 (-1200, -4850, 602.5)
	operation add
	position -100, -9500, 9300
	rotation 0, 0, 0, -1
´door_open´ ElementUnitSequenceTrigger 100144
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence done_open
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/008 (-1375, -4789, 700)
		2
			guis_id 2
			sequence done_exploded
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/008 (-1375, -4789, 700)
	on_executed
		´remove_blocker´ (delay 0)
´remove_blocker´ ElementNavObstacle 100145
	obstacle_list
		1
			guis_id 1
			obj_name 15953514984309589828
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x4x3/005 (-1200, -4850, 602.5)
	operation remove
	position 200, -9500, 9300
	rotation 0, 0, 0, -1
´close_door_topfloor001´ ElementUnitSequence 100147
	position -200, -9400, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/007 (1425, -4788, 700)
			notify_unit_sequence close_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/007 (1425, -4788, 700)
			notify_unit_sequence deactivate_door
			time 0
	on_executed
		´add_blocker001´ (delay 0)
´add_blocker001´ ElementNavObstacle 100148
	obstacle_list
		1
			guis_id 1
			obj_name 15953514984309589828
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x4x3/006 (1625, -4850, 602.5)
	operation add
	position -100, -9400, 9300
	rotation 0, 0, 0, -1
´door_open001´ ElementUnitSequenceTrigger 100149
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence done_open
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/007 (1425, -4788, 700)
		2
			guis_id 2
			sequence done_exploded
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/007 (1425, -4788, 700)
	on_executed
		´remove_blocker001´ (delay 0)
´remove_blocker001´ ElementNavObstacle 100151
	obstacle_list
		1
			guis_id 2
			obj_name 15953514984309589828
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x4x3/006 (1625, -4850, 602.5)
	operation remove
	position 200, -9400, 9300
	rotation 0, 0, 0, -1
´close_door_topfloor002´ ElementUnitSequence 100124
	position -200, -9300, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/005 (-1375, 413, 600)
			notify_unit_sequence close_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/005 (-1375, 413, 600)
			notify_unit_sequence deactivate_door
			time 1
	on_executed
		´add_blocker002´ (delay 0)
´add_blocker002´ ElementNavObstacle 100125
	obstacle_list
		1
			guis_id 1
			obj_name 15953514984309589828
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x4x3/007 (-1175, 350, 602.5)
	operation add
	position -100, -9300, 9300
	rotation 0, 0, 0, -1
´door_open002´ ElementUnitSequenceTrigger 100127
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence done_open
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/005 (-1375, 413, 600)
		2
			guis_id 2
			sequence done_exploded
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/005 (-1375, 413, 600)
	on_executed
		´remove_blocker002´ (delay 0)
´remove_blocker002´ ElementNavObstacle 100128
	obstacle_list
		1
			guis_id 1
			obj_name 15953514984309589828
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x4x3/007 (-1175, 350, 602.5)
	operation remove
	position 200, -9300, 9300
	rotation 0, 0, 0, -1
´close_door_topfloor003´ ElementUnitSequence 100154
	position -200, -9200, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/006 (1425, 413, 600)
			notify_unit_sequence close_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/006 (1425, 413, 600)
			notify_unit_sequence deactivate_door
			time 1
	on_executed
		´add_blocker003´ (delay 0)
´add_blocker003´ ElementNavObstacle 100155
	obstacle_list
		1
			guis_id 1
			obj_name 15953514984309589828
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x4x3/008 (1625, 350, 602.5)
	operation add
	position -100, -9200, 9300
	rotation 0, 0, 0, -1
´door_open003´ ElementUnitSequenceTrigger 100156
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence done_open
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/006 (1425, 413, 600)
		2
			guis_id 2
			sequence done_exploded
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/006 (1425, 413, 600)
	on_executed
		´remove_blocker003´ (delay 0)
´remove_blocker003´ ElementNavObstacle 100158
	obstacle_list
		1
			guis_id 1
			obj_name 15953514984309589828
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x4x3/008 (1625, 350, 602.5)
	operation remove
	position 200, -9200, 9300
	rotation 0, 0, 0, -1
´open_door_seq002´ ElementUnitSequence 100161
	position 1500, -5200, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/006 (1425, 413, 600)
			notify_unit_sequence activate_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/006 (1425, 413, 600)
			notify_unit_sequence open_door
			time 1
	on_executed
		´toggle_OFF_2´ (delay 0)
´open_door_seq003´ ElementUnitSequence 100163
	position 1700, -5200, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/005 (-1375, 413, 600)
			notify_unit_sequence activate_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/005 (-1375, 413, 600)
			notify_unit_sequence open_door
			time 1
	on_executed
		´toggle_OFF´ (delay 0)
´input_destroy_skylight´ ElementInstanceInputEvent 100164
	event_list
		1
			event skylight_destroy
			instance levels/instances/unique/kenaz/skylight_security_barrier/skylight_barrier
	on_executed
		´toggle_OFF_skylight´ (delay 0)
´heli_event´ MissionScriptElement 100166
	DISABLED
	on_executed
		´delay´ (delay 0)
		´amount_counter´ (delay 0)
´delay´ MissionScriptElement 100172
	on_executed
		´input_destroy_skylight´ (delay 20)
´input_spawn_helicopter1´ ElementInstanceInputEvent 100165
	event_list
		1
			event start_helicopter_swat_logic
			instance levels/instances/unique/glace/glace_helicopter_swat/001
´ai_spawn_enemy_033´ ElementSpawnEnemyDummy 100176
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2400, -4400, 625
	rotation 0, 0, -2.68221E-07, -1
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_034´ ElementSpawnEnemyDummy 100177
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2550, -4400, 625
	rotation 0, 0, -2.68221E-07, -1
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_037´ ElementSpawnEnemyDummy 100186
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -1925, -1925, 600
	rotation 0, 0, -5.96046E-07, -1
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_038´ ElementSpawnEnemyDummy 100187
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -2050, -1925, 600
	rotation 0, 0, -5.96046E-07, -1
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_039´ ElementSpawnEnemyDummy 100189
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -2050, -1125, 600
	rotation 0, 0, 1, -6.85453E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_040´ ElementSpawnEnemyDummy 100190
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -1925, -1125, 600
	rotation 0, 0, 1, -6.85453E-07
	spawn_action none
	team default
	voice 0
´ai_enemy_balcony001´ ElementEnemyPreferedAdd 100192
	TRIGGER TIMES 1
	spawn_groups
		1 ´ai_enemy_group_009´
´ai_enemy_group_009´ ElementSpawnEnemyGroup 100194
	amount 0
	elements
 		1 ´ai_spawn_enemy_038´
		2 ´ai_spawn_enemy_037´
		3 ´ai_spawn_enemy_040´
		4 ´ai_spawn_enemy_039´
		5 ´ai_spawn_enemy_051´
	ignore_disabled True
	interval 0
	preferred_spawn_groups
		1 tac_shield_wall_ranged
		2 tac_bull_rush
		3 tac_swat_rifle_flank
		4 tac_shield_wall
		5 tac_tazer_flanking
		6 tac_tazer_charge
		7 FBI_spoocs
		8 tac_shield_wall_charge
	spawn_type group
	team default
´ai_enemy_balcony002´ ElementEnemyPreferedAdd 100195
	TRIGGER TIMES 1
	spawn_groups
		1 ´ai_enemy_group_010´
´ai_enemy_group_010´ ElementSpawnEnemyGroup 100196
	amount 0
	elements
 		1 ´ai_spawn_enemy_047´
		2 ´ai_spawn_enemy_050´
		3 ´ai_spawn_enemy_048´
		4 ´ai_spawn_enemy_045´
		5 ´ai_spawn_enemy_046´
	ignore_disabled True
	interval 0
	preferred_spawn_groups
		1 tac_shield_wall_ranged
		2 tac_bull_rush
		3 tac_swat_rifle_flank
		4 tac_shield_wall
		5 tac_tazer_flanking
		6 tac_tazer_charge
		7 FBI_spoocs
		8 tac_shield_wall_charge
	spawn_type group
	team default
´ai_enemy_balcony003´ ElementEnemyPreferedAdd 100197
	TRIGGER TIMES 1
	spawn_groups
		1 ´ai_enemy_group_011´
´ai_enemy_group_011´ ElementSpawnEnemyGroup 100198
	amount 0
	elements
 		1 ´ai_spawn_enemy_033´
		2 ´ai_spawn_enemy_034´
		3 ´ai_spawn_enemy_044´
		4 ´ai_spawn_enemy_043´
		5 ´ai_spawn_enemy_049´
	ignore_disabled True
	interval 0
	preferred_spawn_groups
		1 tac_shield_wall_ranged
		2 tac_bull_rush
		3 tac_swat_rifle_flank
		4 tac_shield_wall
		5 tac_tazer_flanking
		6 tac_tazer_charge
		7 FBI_spoocs
		8 tac_shield_wall_charge
	spawn_type group
	team default
´close_door_topfloor004´ ElementUnitSequence 100202
	position -200, -9100, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/009 (-1788, -1600, 600)
			notify_unit_sequence close_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/009 (-1788, -1600, 600)
			notify_unit_sequence deactivate_door
			time 1
	on_executed
		´add_blocker004´ (delay 0)
´add_blocker004´ ElementNavObstacle 100203
	obstacle_list
		1
			guis_id 1
			obj_name 1899710181486966882
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x2x3/007 (-1850, -1700, 602.5)
	operation add
	position -100, -9100, 9300
	rotation 0, 0, 0, -1
´door_open004´ ElementUnitSequenceTrigger 100204
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence done_open
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/009 (-1788, -1600, 600)
		2
			guis_id 2
			sequence done_exploded
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/009 (-1788, -1600, 600)
	on_executed
		´remove_blocker004´ (delay 0)
´remove_blocker004´ ElementNavObstacle 100205
	obstacle_list
		1
			guis_id 1
			obj_name 1899710181486966882
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x2x3/007 (-1850, -1700, 602.5)
	operation remove
	position 200, -9100, 9300
	rotation 0, 0, 0, -1
´close_door_topfloor005´ ElementUnitSequence 100207
	position -200, -9000, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/010 (1837, -1400, 600)
			notify_unit_sequence close_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/010 (1837, -1400, 600)
			notify_unit_sequence deactivate_door
			time 1
	on_executed
		´add_blocker005´ (delay 0)
´add_blocker005´ ElementNavObstacle 100211
	obstacle_list
		1
			guis_id 1
			obj_name 1899710181486966882
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x2x3/008 (1800, -1500, 602.5)
	operation add
	position -100, -9000, 9300
	rotation 0, 0, 0, -1
´door_open005´ ElementUnitSequenceTrigger 100212
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence done_open
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/010 (1837, -1400, 600)
		2
			guis_id 2
			sequence done_exploded
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/010 (1837, -1400, 600)
	on_executed
		´remove_blocker005´ (delay 0)
´remove_blocker005´ ElementNavObstacle 100216
	obstacle_list
		1
			guis_id 1
			obj_name 1899710181486966882
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x2x3/008 (1800, -1500, 602.5)
	operation remove
	position 200, -9000, 9300
	rotation 0, 0, 0, -1
´close_door_topfloor006´ ElementUnitSequence 100218
	position -200, -8900, 9300
	rotation 0, 0, 0, -1
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/011 (1837, -3800, 600)
			notify_unit_sequence close_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/011 (1837, -3800, 600)
			notify_unit_sequence deactivate_door
			time 1
	on_executed
		´add_blocker006´ (delay 0)
´add_blocker006´ ElementNavObstacle 100221
	obstacle_list
		1
			guis_id 1
			obj_name 1899710181486966882
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x2x3/009 (1800, -3900, 602.5)
	operation add
	position -100, -8900, 9300
	rotation 0, 0, 0, -1
´door_open006´ ElementUnitSequenceTrigger 100222
	TRIGGER TIMES 1
	sequence_list
		1
			guis_id 1
			sequence done_open
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/011 (1837, -3800, 600)
		2
			guis_id 2
			sequence done_exploded
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/011 (1837, -3800, 600)
	on_executed
		´remove_blocker006´ (delay 0)
´remove_blocker006´ ElementNavObstacle 100223
	obstacle_list
		1
			guis_id 1
			obj_name 1899710181486966882
			unit_id units/dev_tools/level_tools/dev_door_blocker/dev_door_blocker_1x2x3/009 (1800, -3900, 602.5)
	operation remove
	position 200, -8900, 9300
	rotation 0, 0, 0, -1
´open_door_seq004´ ElementUnitSequence 100225
	position 1300, -4900, 9300
	rotation 0, 0, -0.707107, -0.707107
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/010 (1837, -1400, 600)
			notify_unit_sequence activate_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/010 (1837, -1400, 600)
			notify_unit_sequence open_door
			time 1
	on_executed
		´toggle_OFF_9´ (delay 0)
´open_door_seq005´ ElementUnitSequence 100227
	position 1100, -4900, 9300
	rotation 0, 0, -0.707107, -0.707107
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/011 (1837, -3800, 600)
			notify_unit_sequence activate_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/011 (1837, -3800, 600)
			notify_unit_sequence open_door
			time 1
	on_executed
		´toggle_OFF_10´ (delay 0)
´open_door_seq006´ ElementUnitSequence 100230
	position 1200, -4900, 9300
	rotation 0, 0, -0.707107, -0.707107
	trigger_list
		1
			id 1
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/009 (-1788, -1600, 600)
			notify_unit_sequence activate_door
			time 0
		2
			id 2
			name run_sequence
			notify_unit_id units/pd2_dlc_casino/props/cas_bedroom_door/cas_bedroom_double_door/009 (-1788, -1600, 600)
			notify_unit_sequence open_door
			time 1
	on_executed
		´toggle_OFF_11´ (delay 0)
´random_helicopter´ ElementRandom 100123
	amount 1
	amount_random 0
	ignore_disabled True
	on_executed
		´input_spawn_helicopter1´ (delay 0)
		´input_spawn_helicopter2´ (delay 0)
		´input_spawn_helicopter3´ (delay 0)
		´input_spawn_helicopter4´ (delay 0)
´input_spawn_helicopter2´ ElementInstanceInputEvent 100130
	event_list
		1
			event start_helicopter_swat_logic
			instance levels/instances/unique/glace/glace_helicopter_swat/002
´randomize_open_doors´ ElementRandom 100162
	amount 1
	amount_random 0
	ignore_disabled True
	on_executed
		´logic_link_doors´ (delay 0)
		´logic_link_doors_2´ (delay 0)
´toggle_OFF´ ElementToggle 100226
	elements
 		1 ´open_door_seq003´
	set_trigger_times -1
